MSG_ID,MSG_TYPE,DATA_LEN,ERROR,timeSentACK,timeRecvACK,timeFrontendSend,timeFrontendRecv
1,DATA,220,NONE,26013565,26024574,1612025784613,1612025787018
2,DATA,203,NONE,31742557,31751537,1612025790625,1612025792744
3,DATA,181,NONE,37679556,37688671,1612025796628,1612025798681
4,DATA,119,NONE,43826557,43836071,1612025802637,1612025804830
5,DATA,229,NONE,49766561,49775589,1612025808644,1612025810768
6,DATA,133,NONE,55705560,55714392,1612025814649,1612025816707
7,DATA,132,NONE,61748560,61757539,1612025820654,1612025822751
8,DATA,117,NONE,67889560,67898430,1612025826665,1612025828892
9,DATA,185,NONE,73828560,73838890,1612025832672,1612025834831
10,DATA,116,NONE,79874564,79888594,1612025838681,1612025840880
11,DATA,178,NONE,85813560,85824070,1612025844686,1612025846816
12,DATA,123,NONE,91750562,91760921,1612025850691,1612025852753
13,DATA,186,NONE,97794561,97805273,1612025856700,1612025858796
14,DATA,218,NONE,103938561,103951722,1612025862709,1612025864943
15,DATA,135,NONE,109877561,109888324,1612025868718,1612025870880
16,DATA,122,NONE,116088566,116100918,1612025874728,1612025877091
17,DATA,170,NONE,121858562,121868806,1612025880734,1612025882860
18,DATA,208,NONE,127799561,127812562,1612025886742,1612025888804
19,DATA,187,NONE,133840561,133850009,1612025892747,1612025894842
20,DATA,201,NONE,139883731,139893492,1612025898752,1612025900885
21,DATA,188,NONE,145924599,145934523,1612025904762,1612025906925
22,DATA,148,NONE,151865568,151877840,1612025910773,1612025912869
23,DATA,201,NONE,157818588,157828102,1612025916783,1612025918819
24,DATA,137,NONE,163947568,163957500,1612025922792,1612025924949
25,DATA,154,NONE,169888568,169898954,1612025928799,1612025930890
26,DATA,111,NONE,176031568,176045509,1612025934804,1612025937037
27,DATA,111,NONE,181971569,181981753,1612025940810,1612025942973
28,DATA,162,NONE,187911566,187921640,1612025946820,1612025948913
29,DATA,199,NONE,194055561,194067322,1612025952831,1612025955056
30,DATA,182,NONE,199901924,199915030,1612025958835,1612025960904
31,DATA,230,NONE,205935568,205947757,1612025964842,1612025966936
32,DATA,125,NONE,212077568,212089012,1612025970848,1612025973078
33,DATA,153,NONE,218018568,218030369,1612025976857,1612025979019
34,DATA,185,NONE,223958568,223974457,1612025982866,1612025984963
35,DATA,222,NONE,230102568,230114574,1612025988871,1612025991103
36,DATA,145,NONE,236041570,236053465,1612025994877,1612025997042
37,DATA,198,NONE,241920570,241932178,1612026000884,1612026002921
38,DATA,118,NONE,248126566,248138089,1612026006891,1612026009126
39,DATA,128,NONE,254064561,254078612,1612026012895,1612026015069
40,DATA,218,NONE,260108723,260118382,1612026018903,1612026021109
41,DATA,196,NONE,266046569,266056368,1612026024908,1612026027046
42,DATA,216,NONE,271989570,272000318,1612026030914,1612026032990
43,DATA,174,NONE,278129569,278140078,1612026036922,1612026039130
44,DATA,231,NONE,284069570,284079426,1612026042930,1612026045069
45,DATA,141,NONE,290007569,290016845,1612026048935,1612026051007
46,DATA,211,NONE,295981569,295991281,1612026054942,1612026056981
47,DATA,187,NONE,304205568,304216871,1612026060948,1612026065206
48,DATA,150,NONE,308032565,308041901,1612026066955,1612026069031
49,DATA,165,NONE,314176575,314686395,1612026072960,1612026075182
50,DATA,137,NONE,320114648,320129734,1612026078968,1612026081120
