MSG_ID,FRAG_ID,MSG_TYPE,DATA_LEN,ERROR,retires,timeSentACK,timeRecvACK,timeFrontendSend,timeFrontendRecv
1,,DATA,182,NONE,1,7378122,7390109,1612767722789,1612767723821
2,,DATA,190,NONE,1,11384194,11397781,1612767726796,1612767727828
3,,DATA,223,NONE,1,15395006,15405536,1612767730803,1612767731837
4,,DATA,112,NONE,1,19400298,19415837,1612767734809,1612767735847
5,,DATA,158,NONE,1,23407543,23418959,1612767738820,1612767739850
6,,DATA,239,NONE,1,27417976,27430700,1612767742829,1612767743862
7,,DATA,158,NONE,1,31427328,31438147,1612767746836,1612767747869
8,,DATA,184,NONE,1,35429771,35444546,1612767750843,1612767751877
9,,DATA,138,NONE,1,39505065,39517054,1612767754851,1612767755948
10,,DATA,174,NONE,1,43452616,43464004,1612767758859,1612767759895
11,,DATA,191,NONE,1,47458278,47468493,1612767762868,1612767763899
12,,DATA,227,NONE,1,51467529,51479426,1612767766877,1612767767910
13,,DATA,237,NONE,1,55706261,55717882,1612767770886,1612767772149
14,,DATA,191,NONE,1,59483218,59495029,1612767774893,1612767775926
15,,DATA,112,NONE,1,63829722,63839264,1612767778902,1612767780270
16,,DATA,140,NONE,1,67496703,67512184,1612767782909,1612767783942
17,,DATA,139,NONE,1,71506580,71519369,1612767786918,1612767787948
18,,DATA,182,NONE,1,75518435,75532224,1612767790927,1612767791961
19,,DATA,209,NONE,1,79525529,79537926,1612767794934,1612767795966
20,,DATA,219,NONE,1,83527573,83541257,1612767798939,1612767799970
21,,DATA,135,NONE,1,87539258,87551930,1612767802949,1612767803980
22,,DATA,209,NONE,1,91772303,91788677,1612767806957,1612767808218
23,,DATA,235,NONE,1,95552850,95565756,1612767810963,1612767811994
24,,DATA,134,NONE,1,99557197,99570560,1612767814970,1612767815999
25,,DATA,140,NONE,1,103566298,103579615,1612767818978,1612767820008
26,,DATA,179,NONE,1,107631913,107646700,1612767822985,1612767824075
27,,DATA,128,NONE,1,111583058,111595361,1612767826994,1612767828023
28,,DATA,131,NONE,1,115592107,115607627,1612767831002,1612767832035
29,,DATA,162,NONE,1,119596854,119610029,1612767835007,1612767836039
30,,DATA,219,NONE,1,123603574,123619459,1612767839015,1612767840047
31,,DATA,121,NONE,1,127613466,127624579,1612767843022,1612767844057
32,,DATA,224,NONE,1,131620565,131630864,1612767847029,1612767848063
33,,DATA,212,NONE,1,135625529,135637355,1612767851037,1612767852069
34,,DATA,107,NONE,1,139632672,139642632,1612767855042,1612767856075
35,,DATA,120,NONE,1,143645197,143654168,1612767859049,1612767860086
36,,DATA,114,NONE,1,147648131,147657715,1612767863058,1612767864090
37,,DATA,159,NONE,1,151651878,151661404,1612767867064,1612767868092
38,,DATA,121,NONE,1,155856096,155865141,1612767871071,1612767872297
39,,DATA,179,NONE,1,159671018,159689349,1612767875079,1612767876120
40,,DATA,170,NONE,1,163673142,163686071,1612767879083,1612767880118
41,,DATA,196,NONE,1,167680243,167693848,1612767883092,1612767884124
42,,DATA,187,NONE,1,171685941,171695858,1612767887097,1612767888127
43,,DATA,118,NONE,1,175695702,175706862,1612767891100,1612767892138
44,,DATA,160,NONE,1,179938590,179948545,1612767895105,1612767896380
45,,DATA,208,NONE,1,183705077,183715732,1612767899113,1612767900147
46,,DATA,142,NONE,1,187710973,187725479,1612767903121,1612767904154
47,,DATA,161,NONE,1,191719136,191743649,1612767907126,1612767908172
48,,DATA,125,NONE,1,195781342,195794302,1612767911136,1612767912222
49,,DATA,118,NONE,1,199728664,199741445,1612767915140,1612767916169
50,,DATA,183,NONE,1,203740410,203753926,1612767919148,1612767920182
51,,DATA,202,NONE,1,207748494,207760773,1612767923156,1612767924189
52,,DATA,120,NONE,1,211750697,211764765,1612767927162,1612767928193
53,,DATA,172,NONE,1,215760232,215775667,1612767931170,1612767932203
54,,DATA,161,NONE,1,219768504,219783615,1612767935179,1612767936211
55,,DATA,178,NONE,1,223776259,223789520,1612767939184,1612767940217
56,,DATA,188,NONE,1,227782863,227796967,1612767943193,1612767944224
57,,DATA,166,NONE,1,231995754,232012554,1612767947198,1612767948440
58,,DATA,131,NONE,1,235799281,235812647,1612767951207,1612767952240
59,,DATA,135,NONE,1,239808542,239823818,1612767955213,1612767956251
60,,DATA,113,NONE,1,243810026,243822834,1612767959221,1612767960250
61,,DATA,110,NONE,1,247819760,247833889,1612767963231,1612767964263
62,,DATA,182,NONE,1,251825692,251838884,1612767967235,1612767968269
63,,DATA,118,NONE,1,255851146,255863412,1612767971241,1612767972293
64,,DATA,127,NONE,1,259845727,259870232,1612767975250,1612767976299
65,,DATA,158,NONE,1,263849380,263860623,1612767979260,1612767980291
66,,DATA,224,NONE,1,267873033,267890479,1612767983269,1612767984319
67,,DATA,199,NONE,1,271868373,271879176,1612767987276,1612767988308
68,,DATA,127,NONE,1,275876631,275886775,1612767991287,1612767992316
69,,DATA,170,NONE,1,279881685,279894262,1612767995291,1612767996323
70,,DATA,147,NONE,1,284072298,284084035,1612767999299,1612768000513
71,,DATA,200,NONE,1,287901182,287912080,1612768003309,1612768004341
72,,DATA,223,NONE,1,291910806,291925286,1612768007319,1612768008355
73,,DATA,175,NONE,1,295920149,295931818,1612768011330,1612768012360
74,,DATA,110,NONE,1,299929919,299940772,1612768015341,1612768016369
75,,DATA,143,NONE,1,303942378,303952609,1612768019351,1612768020382
