MSG_ID,FRAG_ID,DATA_LEN,timeSent,timeRecv
1,,210,13689261,13862602
2,,194,16698240,16730267
3,,145,19705057,19807996
4,,233,22716131,23089841
5,,199,25724074,25854773
6,,181,28730075,28922347
7,,195,31735074,31792756
8,,205,34744080,34865858
9,,137,37750058,37932360
10,,143,40761147,40807351
11,,206,43769106,43880690
12,,170,46777065,46951539
13,,224,49784081,49821036
14,,198,52792066,52895047
15,,148,55799062,55964869
16,,207,58808158,58936447
17,,209,61815074,62010225
18,,114,64823060,65073558
19,,120,67832056,67948736
20,,115,70836448,71018772
21,,194,73845304,73888914
22,,217,76849501,76963755
23,,219,79857298,80034269
24,,193,82866296,82901917
25,,188,85875292,85974286
26,,160,88881286,89047399
27,,224,91890299,91919156
28,,203,94898376,94991981
29,,204,97906300,98063665
30,,169,100915285,100932998
31,,171,103919292,104005019
32,,128,106929281,107078709
33,,111,109939281,110150281
34,,138,112947360,113024431
35,,171,115953288,116091032
36,,223,118963304,118973530
37,,178,121970290,122029409
38,,190,124980297,125106683
39,,165,127989305,127999580
40,,174,130999038,131149318
41,,113,134006838,134221590
42,,242,137016040,137089422
43,,232,140024852,140161084
44,,120,143030835,143236111
45,,194,146040846,146100165
46,,118,149046911,149176840
47,,159,152053841,152061687
48,,111,155060831,155114315
49,,213,158069853,158463978
50,,153,161073832,161267942
51,,127,164077838,164129400
52,,168,167085924,167209111
53,,111,170090831,170281093
54,,120,173097835,173155672
55,,124,176101830,176231309
56,,131,179108838,179297791
57,,176,182114843,182163291
58,,137,185122912,185257973
59,,121,188130836,188183782
60,,159,191144561,191191603
61,,148,194151403,194253065
62,,131,197158592,197340494
63,,188,200166418,200189220
64,,205,203171505,203369653
65,,170,206176408,206236494
66,,208,209185423,209308634
67,,168,212195408,212381817
68,,189,215201418,215252093
69,,231,218210422,218320678
70,,154,221219484,221295488
71,,137,224226402,224367965
72,,213,227237418,227442225
73,,151,230243406,230306003
74,,120,233252400,233377746
75,,111,236258401,236452701
76,,145,239268486,239424246
77,,160,242271405,242293436
78,,143,245279406,245363193
79,,179,248288471,248450338
80,,136,251408986,254174968
81,,136,254418868,254377445
82,,184,257330829,257454984
83,,110,260410309,260534318
84,,187,263317280,263396706
85,,201,266322103,266466592
86,,208,269330108,269540682
87,,115,272339083,272407882
88,,210,275347195,275481543
89,,144,278355092,278551351
90,,154,281361088,281422181
91,,117,284369088,284490444
92,,159,287376092,287568452
93,,156,290382095,290431482
94,,180,293391175,293609926
95,,230,296399109,296476918
96,,215,299406107,299550052
97,,149,302412087,302626338
98,,163,305421096,305492584
99,,173,308430097,308559788
100,,206,311437187,311533867
