MSG_ID,DATA_LEN,timeSent,timeRecv
1,201,10664775,11182100
2,127,13673741,13783425
3,175,16679754,16853781
4,219,19689685,20540700
5,171,22694607,22894366
6,119,25701602,25761543
7,213,28713609,28836070
8,168,31722612,31904088
9,135,34732609,34777335
10,141,37741600,38053441
11,223,40751606,40822739
12,124,43758599,43888511
13,155,46766604,46959976
14,228,49774616,49829880
15,141,52780593,52901061
16,151,55787646,55876074
17,218,58795630,58943191
18,227,61801652,62019511
19,241,64810619,66249912
20,180,67817644,67954663
21,133,70824601,71027538
22,190,73832778,74395178
23,164,76838757,76967666
24,215,79846622,80039764
25,226,82855614,82908883
26,116,85862603,85977704
27,197,88870631,89051354
28,216,91876664,91919439
29,228,94887622,94990239
30,166,97891615,98062153
31,155,100898616,100929907
32,139,103907609,104002405
33,220,106916615,107074263
34,115,109925650,109943062
35,164,112935623,113015961
36,196,115942617,116086897
37,204,118952611,119158654
38,122,121960604,122029178
39,156,124968618,125098338
40,132,127978659,128171444
41,208,130986619,131037516
42,173,133992621,134110123
43,199,137001783,137187179
44,128,140010596,140053957
45,107,143017606,143127424
46,185,146026664,146099750
47,187,149033627,149170206
48,187,152041605,152242264
49,160,155050615,155110922
50,136,158058604,158761602
51,156,161066601,161256679
52,135,164072666,164123402
53,220,167083632,167195660
54,161,170091612,170268093
55,151,173097615,173135102
56,113,176107588,176202231
57,185,179116620,179279534
58,127,182125657,182147347
59,137,185131614,185219680
60,150,188139597,188292044
61,172,191148618,191366138
62,182,194153615,194230242
63,115,197158756,197300650
64,158,200166656,200378033
65,151,203174614,203240631
66,123,206181598,206313444
67,141,209191594,209385148
68,195,212200614,212252874
69,207,215208614,215324677
70,152,218216653,218297320
71,173,221225606,221370409
72,142,224234601,224439888
73,130,227243604,227308177
74,155,230252606,230379314
75,202,233260602,233453197
76,140,236269652,236326864
77,116,239277604,239393850
78,246,242290627,242468527
79,128,245293592,245333260
80,194,248302615,248404701
81,123,251311591,251325324
82,167,254319661,254345060
83,172,257330770,257414011
84,227,260340627,260482360
85,242,263344660,263554235
86,185,266350604,266425861
87,123,269355610,269494655
88,232,272366670,272566942
89,175,275373622,275435523
90,204,278381602,278505402
91,218,281389627,281577098
92,170,284394611,284445898
93,201,287404620,287518508
94,115,290412643,290492339
95,152,293422621,293560103
96,162,296431616,296632715
97,186,299440611,299504670
98,202,302449605,302571823
99,112,305456608,305646066
100,158,308466653,308514855
